file,snippet
vimartful-src2Fmessage.c, sprintf
vimartful-src2Fmessage.c, sprintf
vimartful-src2Fmessage.c, sprintf
vimartful-src2Fmessage.c, sprintf
vimartful-src2Fmessage.c, sprintf
vimartful-src2Fmessage.c, sprintf
e2fsprogtrusty-e2fsck2Fproblem.c,	sprintf
e2fsprogartful-lib2Fblkid2Fsave.c,	sprintf
e2fsprogartful-lib2Fblkid2Fsave.c,	sprintf
bind-9.11.0-lib2Fdns2Frdata2Fgeneric2Fhip_55.c,	sprintf
iproute2xenpatch-tc2Ftc_util.c,	sprintf
iproute2xenpatch-tc2Ftc_util.c,	strcpy
kek-123-mkisofs2Fmkisofs.c,
kek-123-mkisofs2Fmkisofs.c,
kek-123-mkisofs2Fmkisofs.c,
juliet-cpp-CWE401_Memory_Leak__char_malloc_64a.c, strcpy
minimap2-1-format.c, sprintf
GimpMaster-gimp2Fapp2Fcore2Fgimp-utils.c, strcpy
juliet-cpp-CWE401_Memory_Leak__char_realloc_22a.c, strcpy
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
iproute2xenpatch-ip2Fipxfrm.c,	sprintf
iproute2xenpatch-ip2Fipxfrm.c,	strcpy
e2fsprogdebstretche-lib2Fss2Fhelp.c,	sprintf
e2fsprogdebstretche-lib2Fss2Fhelp.c, strcpy
e2fsprogdebstretche-lib2Fss2Fhelp.c, strcat
e2fsprogdebstretche-lib2Fss2Fhelp.c, strcat
e2fsprogdebstretche-lib2Fss2Fhelp.c, strcat
e2fsprogdebstretche-lib2Fss2Fhelp.c,	strcpy
e2fsprogdebstretche-lib2Fss2Fhelp.c,	strcat
e2fsprogdebstretche-lib2Fss2Fhelp.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_crypt.c, strcpy
bashdebstretche-support2Fman2html.c,	strcpy
bashdebstretche-support2Fman2html.c,	strcat
bashdebstretche-support2Fman2html.c,	strcat
bashdebstretche-support2Fman2html.c,	strcat
bashdebstretche-support2Fman2html.c,	strcat
bashdebstretche-support2Fman2html.c,	sprintf
bashdebstretche-support2Fman2html.c,	sprintf
bashdebstretche-support2Fman2html.c,	strcpy
bashdebstretche-support2Fman2html.c,	sprintf
bashdebstretche-support2Fman2html.c,	sprintf
bind-9.11.0-lib2Flwres2Fgetipnode.c,	strcpy
bind-9.11.0-lib2Flwres2Fgetipnode.c,	strcpy
bind-9.11.0-lib2Flwres2Fgetipnode.c,	strcpy
e2fsprogartful-lib2Fss2Ferror.c,	strcpy
iproutexen-misc2Fnstat.c,	sprintf
iproutexen-misc2Fnstat.c,	sprintf
iproutexen-misc2Fnstat.c,	sprintf
iproutexen-misc2Fnstat.c,(strcpy
iproutexen-misc2Fnstat.c,	strcpy
vimxenial-src2Fspellfile.c, sprintf
vimxenial-src2Fspellfile.c, sprintf
vimxenial-src2Fspellfile.c, sprintf
readlinexenialubuntu7.0-histexpand.c, strcpy
readlinexenialubuntu7.0-histexpand.c, strcpy
readlinexenialubuntu7.0-histexpand.c, strcpy
readlinexenialubuntu7.0-histexpand.c, strcpy
readlinexenialubuntu7.0-histexpand.c, strcpy
readlinexenialubuntu7.0-histexpand.c, strcpy
kbdxenial-src2Fvlock2Fscreen.c,	sprintf
libav-libavformat2Favio.c, strcpy
libav-libavformat2Favio.c, strcpy
e2fsprogsxenpatch-lib2Fext2fs2Finode_io.c,	sprintf
e2fsprogsxenpatch-lib2Fext2fs2Finode_io.c,	strcpy
inetutilspatchxen-lib2Fopenat-proc.c, sprintf
inetutilspatchxen-lib2Fopenat-proc.c, sprintf
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_trace.c, strcpy
libcsa-libcsa-7B712035-8DD0-43A2-A4A8-6AD7B227CBA9-lib_trace.c, sprintf
vimartful-src2Fgui_athena.c,	strcat
juliet-cpp-CWE401_Memory_Leak__char_malloc_21.c, strcpy
libcap2xenpatch-libcap2Fcap_text.c, sprintf
libcap2xenpatch-libcap2Fcap_text.c, sprintf
libcap2xenpatch-libcap2Fcap_text.c, sprintf
libcap2xenpatch-libcap2Fcap_text.c, sprintf
lesstrusty-filename.c,	strcpy
lesstrusty-filename.c,	strcpy
lesstrusty-filename.c,	strcpy
lesstrusty-filename.c,	sprintf
lesstrusty-filename.c,	sprintf
lesstrusty-filename.c,	strcpy
lesstrusty-filename.c,	strcat
lesstrusty-filename.c,	strcpy
lesstrusty-filename.c,	strcat
gawkxenpatch-src2Fops.c,	sprintf
gawkxenpatch-src2Fops.c,	sprintf
gawkxenpatch-src2Fops.c,	sprintf
gawkxenpatch-src2Fops.c,	sprintf
gawkxenpatch-src2Fops.c, sprintf
gawkxenpatch-src2Fops.c, sprintf
gawkxenpatch-src2Fops.c, sprintf
gawkxenpatch-src2Fops.c, sprintf
gawkxenpatch-src2Fops.c,	sprintf
bind-9.11.0-lib2Fdns2Frdata2Fgeneric2Fnxt_30.c,	sprintf
pkgconfigxenial0.29-pkg.c, strcpy
ncursesxenpatch-test2Fdemo_termcap.c, sprintf
ncursesxenpatch-test2Fdemo_termcap.c,	strcpy
openscap-src2Fcommon2Felements.c,	strcat
openscap-src2Fcommon2Felements.c,	strcat
e2fsprogartful-misc2Futil.c,	strcpy
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcpy
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcpy
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcpy
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcat
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcpy
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcat
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcat
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	sprintf
ssocopsacc_gsoap-gsoap2Fsrc2Fsoapcpp2.c,	strcpy
ncursesxenialubuntu-test2Fdemo_panels.c, sprintf
